tanggal,quantity
2020-04-11,65
2020-04-12,62
2020-04-13,64
2020-04-14,61
2020-04-15,63
2020-04-16,69
2020-04-17,68
2020-04-18,65
2020-04-19,64
2020-04-20,61
2020-04-21,62
2020-04-22,63
2020-04-23,68
2020-04-24,59
2020-04-25,69
2020-04-26,69
2020-04-27,68
2020-04-28,70
2020-04-29,66
2020-04-30,63
2020-05-01,65
2020-05-02,62
2020-05-03,64
2020-05-04,70
2020-05-05,69
2020-05-06,66
2020-05-07,65
2020-05-08,62
2020-05-09,63
2020-05-10,64
2020-05-11,69
2020-05-12,60
2020-05-13,70
2020-05-14,70
2020-05-15,69
2020-05-16,71
2020-05-17,67
2020-05-18,64
2020-05-19,66
2020-05-20,63
2020-05-21,65
2020-05-22,71
2020-05-23,70
2020-05-24,67
2020-05-25,66
2020-05-26,63
2020-05-27,64
2020-05-28,65
2020-05-29,70
2020-05-30,61
2020-05-31,71
2020-06-01,71
2020-06-02,70
2020-06-03,72
2020-06-04,68
2020-06-05,65
2020-06-06,67
2020-06-07,64
2020-06-08,66
2020-06-09,72
